@RELATION BTC_train

@ATTRIBUTE Open NUMERIC
@ATTRIBUTE High NUMERIC
@ATTRIBUTE Low NUMERIC
@ATTRIBUTE Close NUMERIC
@ATTRIBUTE Adj_Close NUMERIC
@ATTRIBUTE Output {Buy,Sell}

@DATA
-1.104550546,-1.103639854,-1.103311839,-1.100806056,-1.460681595,Sell
-1.098880837,-1.094481018,-1.097054617,-1.090832857,-1.404481685,Buy
-1.089937536,-1.095261261,-1.094458908,-1.098988201,-1.446811772,Sell
-1.097685041,-1.102451407,-1.09677864,-1.099555067,-1.431253596,Sell
-1.098284603,-1.100281155,-1.095300347,-1.100175385,-1.41510777,Sell
-1.099073495,-1.089636574,-1.09604871,-1.087127609,-1.390086924,Buy
-1.085315637,-1.089830369,-1.084723205,-1.090923836,-1.411483347,Sell
-1.089127148,-1.088826031,-1.086561342,-1.089727659,-1.40608648,Buy
-1.088100188,-1.091365319,-1.08460915,-1.090595298,-1.417990313,Sell
-1.089056288,-1.09243148,-1.106333415,-1.110268259,-1.319947268,Sell
-1.108943345,-1.112879346,-1.106924452,-1.111303633,-1.395838692,Sell
-1.109715377,-1.113733001,-1.10824564,-1.112741381,-1.437446705,Sell
-1.111268479,-1.115165023,-1.11474413,-1.119043527,-1.442896997,Sell
-1.117170242,-1.112834418,-1.114275913,-1.110716185,-1.390367174,Buy
-1.109212448,-1.113332652,-1.110897482,-1.114967969,-1.396545549,Sell
-1.113308204,-1.114470917,-1.110041484,-1.113802531,-1.40466388,Buy
-1.112373655,-1.11694812,-1.110613589,-1.11404086,-1.40309339,Sell
-1.112461751,-1.116765234,-1.109710574,-1.113508117,-1.425873354,Buy
-1.112206662,-1.11093689,-1.10886275,-1.109478111,-1.373800439,Buy
-1.108046686,-1.111777769,-1.113031248,-1.116433123,-1.393733167,Sell
-1.114854935,-1.119039356,-1.114673604,-1.118388673,-1.426092085,Sell
-1.116819397,-1.120008454,-1.115952184,-1.117791732,-1.410659577,Buy
-1.116124436,-1.120891468,-1.117023413,-1.120844957,-1.406970772,Sell
-1.119261605,-1.121709936,-1.116928678,-1.120575997,-1.417025646,Buy
-1.118593402,-1.122513113,-1.117122098,-1.121759993,-1.418441003,Sell
-1.120143801,-1.121579028,-1.117410494,-1.121742313,-1.427563519,Buy
-1.119999701,-1.123998004,-1.118975625,-1.122830243,-1.402463364,Sell
-1.121199094,-1.125347397,-1.12585505,-1.128426287,-1.329798793,Sell
-1.126894613,-1.130554471,-1.127647129,-1.128448051,-1.381905463,Sell
-1.127095935,-1.128317213,-1.125134974,-1.126923785,-1.37978829,Buy
-1.125343856,-1.128453164,-1.124430287,-1.128378532,-1.38622162,Sell
-1.126612659,-1.128269161,-1.125340185,-1.126343753,-1.407625527,Buy
-1.124907116,-1.127103545,-1.122941347,-1.124486866,-1.426521682,Buy
-1.123141434,-1.127207311,-1.123915109,-1.127563467,-1.427840124,Sell
-1.125753176,-1.129672784,-1.124079522,-1.127178003,-1.411323951,Buy
-1.125741756,-1.128540907,-1.123116462,-1.125624933,-1.415343574,Buy
-1.123850946,-1.128154242,-1.124763431,-1.128257442,-1.400978036,Sell
-1.126552395,-1.129622691,-1.125242276,-1.129302435,-1.427279388,Sell
-1.127566593,-1.115307101,-1.125375854,-1.114031778,-1.278606169,Buy
-1.112146702,-1.116310584,-1.11026262,-1.113829471,-1.364439915,Buy
-1.112103657,-1.115403239,-1.11074534,-1.112629354,-1.35752644,Buy
-1.110710226,-1.115359464,-1.109157125,-1.113819082,-1.355864192,Sell
-1.112530087,-1.116243891,-1.110344088,-1.113962832,-1.345478277,Sell
-1.112367999,-1.116516475,-1.111616764,-1.114622755,-1.346788348,Sell
-1.113056552,-1.11643355,-1.110668873,-1.114572044,-1.354452408,Buy
-1.112921598,-1.116053395,-1.110558987,-1.115875643,-1.366768786,Sell
-1.114576381,-1.117058239,-1.111305838,-1.115314186,-1.375271149,Buy
-1.113497194,-1.115569317,-1.111125759,-1.113053546,-1.315402302,Buy
-1.111573254,-1.101930501,-1.108263834,-1.099612424,-1.159704894,Buy
-1.098241593,-1.098225073,-1.094381038,-1.100171982,-1.163972879,Sell
-1.098601871,-1.100337446,-1.096049522,-1.096954157,-1.230279918,Buy
-1.095334527,-1.099588691,-1.094750699,-1.099463175,-1.279706496,Sell
-1.09796227,-1.099244649,-1.094270083,-1.096775459,-1.277316056,Buy
-1.095547662,-1.091409042,-1.093436062,-1.089065587,-1.218215896,Buy
-1.087308039,-1.088979541,-1.103577981,-1.107936219,-1.11782719,Sell
-1.106507044,-1.105755665,-1.102950703,-1.104899832,-1.199662717,Buy
-1.103517627,-1.107858177,-1.102425487,-1.108630516,-1.278299188,Sell
-1.10682535,-1.111007161,-1.108128595,-1.10978175,-1.260655047,Sell
-1.10830983,-1.109082352,-1.104103622,-1.1087036,-1.253629049,Buy
-1.107150726,-1.108135491,-1.103659633,-1.107573343,-1.29116793,Buy
-1.106202377,-1.109931505,-1.103999309,-1.107276672,-1.295507716,Buy
-1.105788511,-1.109868844,-1.104146468,-1.108696023,-1.313671598,Sell
-1.107197244,-1.110641319,-1.109932725,-1.112495618,-1.217090402,Sell
-1.110994848,-1.107270577,-1.108363534,-1.104592378,-1.154946599,Buy
-1.102947722,-1.106200192,-1.10053177,-1.104620537,-1.209404871,Sell
-1.103045949,-1.105889819,-1.099474159,-1.102699522,-1.184044575,Buy
-1.100997615,-1.102549745,-1.098178344,-1.101987132,-1.123971534,Buy
-1.100754536,-1.10061949,-1.097181626,-1.098530871,-1.115584892,Buy
-1.096769303,-1.101776362,-1.095374139,-1.098690133,-1.17295129,Sell
-1.096968727,-1.10102525,-1.098764472,-1.105611469,-1.161289782,Sell
-1.104086672,-1.105039881,-1.102234687,-1.102367939,-1.170796825,Buy
-1.100544605,-1.108814132,-1.099576959,-1.10612114,-1.19756058,Sell
-1.104657454,-1.106402156,-1.100630325,-1.104757927,-1.142962865,Buy
-1.103010116,-1.106068377,-1.100008159,-1.103557326,-1.202511226,Buy
-1.101788207,-1.100593082,-1.098249091,-1.098716053,-1.178080962,Buy
-1.097170872,-1.101824029,-1.095707448,-1.099819781,-1.264147094,Sell
-1.09795699,-1.100594024,-1.095154387,-1.098823475,-1.187339682,Buy
-1.09725308,-1.099633077,-1.094135859,-1.096809672,-1.2036473,Buy
-1.095213373,-1.098020805,-1.093438793,-1.094822004,-1.156973619,Buy
-1.093403284,-1.096571695,-1.091812196,-1.096776874,-1.118758246,Sell
-1.095225812,-1.099363687,-1.09206782,-1.098494042,-1.206482073,Sell
-1.096963232,-1.100495512,-1.093533381,-1.097785271,-1.189008389,Buy
-1.096222183,-1.100943232,-1.094120469,-1.098458235,-1.211942894,Sell
-1.096749883,-1.10064246,-1.097919528,-1.10189078,-1.147565198,Sell
-1.0999236,-1.103969356,-1.098097023,-1.10062023,-1.128913453,Buy
-1.099036141,-1.097443503,-1.095520911,-1.093935575,-1.116209699,Buy
-1.092330272,-1.09519544,-1.089320505,-1.093202496,-1.194961971,Buy
-1.09166683,-1.095216647,-1.090153031,-1.091378174,-1.110133857,Buy
-1.090134061,-1.084117783,-1.088352592,-1.090931681,-1.174175132,Buy
-1.089404932,-1.093781537,-1.085593743,-1.09059417,-1.21041124,Buy
-1.089023766,-1.092578114,-1.085335204,-1.088455533,-1.152226577,Buy
-1.086938848,-1.052481006,-1.082852573,-1.049157993,-0.55643112,Buy
-1.047607075,-1.031180742,-1.042455215,-1.044992567,-0.476051966,Buy
-1.04353235,-1.044858708,-1.043771956,-1.045662288,-0.716778189,Sell
-1.044098872,-1.042441443,-1.039207871,-1.038466099,-0.790341205,Buy
-1.036907221,-1.034130415,-1.033815984,-1.037164023,-0.785349147,Buy
-1.035445096,-1.032473705,-1.030442406,-1.029321507,-0.800114836,Buy
-1.02774862,-1.028162909,-1.025061572,-1.024785251,-0.774989754,Buy
-1.023235329,-1.030067087,-1.024679086,-1.02942832,-0.905707108,Sell
-1.027928177,-1.023535352,-1.022504613,-1.02364919,-0.866156192,Buy
-1.02208657,-1.027194125,-1.033392257,-1.037311785,-0.806837064,Sell
-1.035906089,-1.040845246,-1.036533185,-1.036368859,-0.963312606,Buy
-1.034856577,-1.039307609,-1.030693435,-1.035973435,-1.116803967,Buy
-1.034469273,-1.036262041,-1.031195217,-1.032111558,-1.140268118,Buy
-1.030598232,-1.035859544,-1.033294514,-1.038133334,-1.039033906,Sell
-1.036596987,-1.032622991,-1.031519595,-1.027437087,-1.072423465,Buy
-1.025852118,-1.030415737,-1.020746154,-1.026383263,-1.027888218,Buy
-1.024868365,-1.0266573,-1.018869691,-1.022731198,-0.981239981,Buy
-1.021197214,-1.026077188,-1.018789238,-1.022490505,-0.95303345,Buy
-1.020931046,-1.024831195,-1.015242869,-1.020566839,-0.986100708,Buy
-1.019141756,-1.024752301,-1.017484177,-1.021794111,-0.955428153,Sell
-1.02039275,-1.020977841,-1.016032862,-1.016745731,-0.907641508,Buy
-1.015210469,-1.008300705,-1.009336893,-1.005897387,-0.836094937,Buy
-1.004427727,-1.007441499,-1.006060375,-1.011178275,-0.769419881,Sell
-1.009553234,-1.012274249,-1.0196156,-1.025454757,-0.862589342,Sell
-1.023924526,-1.0213411,-1.019762575,-1.022103428,-0.783437551,Buy
-1.020556933,-1.025672981,-1.017056963,-1.022679197,-0.984924863,Sell
-1.020943092,-1.024781834,-1.015935912,-1.021777291,-1.000924083,Buy
-1.020267103,-1.026188826,-1.018336152,-1.024190011,-0.951720459,Sell
-1.022646881,-1.025486883,-1.020357377,-1.020781756,-0.950025334,Buy
-1.019298618,-1.023636168,-1.013290695,-1.018240942,-0.961725367,Buy
-1.016719881,-1.016536033,-1.010926141,-1.011988647,-0.908456806,Buy
-1.010440854,-0.996916689,-1.004946391,-1.000644335,-0.69909799,Buy
-0.999071115,-1.000115122,-0.999323773,-0.997142182,-0.760700813,Buy
-0.995628061,-1.002993233,-0.995733561,-0.998574985,-0.906778019,Sell
-0.997267022,-1.002905263,-0.997460466,-0.999998259,-0.853666981,Sell
-0.998543969,-0.991666747,-0.992194315,-0.99457629,-0.728310718,Buy
-0.991995571,-0.990507292,-0.988118689,-0.984605491,-0.870666619,Buy
-0.983059519,-0.979812267,-0.975717102,-0.973712616,-0.791316326,Buy
-0.97211204,-0.966188339,-0.965270568,-0.961877353,-0.647844852,Buy
-0.960339692,-0.916299205,-0.952524618,-0.915259005,-0.136307638,Buy
-0.91387596,-0.906810308,-0.926848967,-0.928653858,-0.196613202,Sell
-0.92725609,-0.875718874,-0.922434515,-0.879558646,-0.142148678,Buy
-0.878546424,-0.862653135,-0.872584,-0.86750628,0.047228736,Buy
-0.866332415,-0.862249173,-0.861166675,-0.853322765,-0.146523807,Buy
-0.852524083,-0.85660972,-0.866819961,-0.869885449,0.124672761,Sell
-0.868325157,-0.876403048,-0.905272525,-0.898286657,-0.035568914,Sell
-0.896974454,-0.901003154,-0.892324483,-0.902479705,-0.517670528,Sell
-0.901222579,-0.855502837,-0.891346421,-0.849450534,-0.267257468,Buy
-0.848092749,-0.859058106,-0.867342982,-0.862027814,-0.380902541,Sell
-0.860635481,-0.866051106,-0.857729472,-0.862116053,-0.307566094,Sell
-0.861110005,-0.870004786,-0.868612041,-0.876959365,-0.325482249,Sell
-0.87568346,-0.871120536,-0.87266593,-0.865272168,-0.340074073,Buy
-0.863840986,-0.86149169,-0.856270462,-0.860985616,-0.264507865,Buy
-0.859314254,-0.863091308,-0.849680816,-0.857189156,-0.467149294,Buy
-0.855627602,-0.831378256,-0.852100432,-0.821846263,-0.22379788,Buy
-0.820389707,-0.817400494,-0.808910864,-0.812415318,-0.148009534,Buy
-0.811217539,-0.823093637,-0.808790479,-0.816442781,-0.35214421,Sell
-0.815146606,-0.824808174,-0.816956161,-0.818835241,-0.391145859,Sell
-0.817325814,-0.808955645,-0.830567538,-0.837784581,-0.066702097,Sell
-0.836344672,-0.833904698,-0.834518868,-0.824168398,-0.286844112,Buy
-0.822825042,-0.831702033,-0.816038919,-0.824777073,-0.447045085,Sell
-0.82331034,-0.821269836,-0.81127538,-0.814279675,-0.570539278,Buy
-0.812976061,-0.825072991,-0.83361052,-0.846308462,-0.476356363,Sell
-0.844793814,-0.856053486,-0.873039521,-0.876672475,-0.335618798,Sell
-0.875446735,-0.874930777,-0.867229314,-0.869465574,-0.492200964,Buy
-0.868313451,-0.872653688,-0.872443687,-0.86991067,-0.619784733,Sell
-0.868213112,-0.863452438,-0.859427739,-0.858558548,-0.641615535,Buy
-0.857562461,-0.866253541,-0.858153033,-0.863732784,-0.786317724,Sell
-0.862575817,-0.871918023,-0.872856103,-0.878536653,-0.780373479,Sell
-0.876869125,-0.866128323,-0.872583336,-0.859384325,-0.662819619,Buy
-0.857748426,-0.867384266,-0.861577467,-0.864739515,-0.752951138,Sell
-0.86345685,-0.857739572,-0.856252378,-0.851023809,-0.643796563,Buy
-0.849676905,-0.850943736,-0.841573666,-0.845623121,-0.662987253,Buy
-0.844233557,-0.825011237,-0.835163823,-0.815314744,-0.590794214,Buy
-0.814178014,-0.816500585,-0.805889952,-0.806810855,-0.672251025,Buy
-0.805264443,-0.78942654,-0.794031425,-0.797808059,-0.394211907,Buy
-0.796771306,-0.782699089,-0.783661247,-0.776642986,-0.825914424,Buy
-0.774415605,-0.786642402,-0.781219119,-0.791686312,-0.811721409,Sell
-0.790490274,-0.794157007,-0.777638171,-0.784163287,-0.834508182,Buy
-0.782840191,-0.779778041,-0.774227133,-0.771818442,-0.71081398,Buy
-0.770628114,-0.750420064,-0.75824135,-0.737785329,-0.560141917,Buy
-0.734667729,-0.693594551,-0.723721183,-0.705704703,-0.042519831,Buy
-0.70470508,-0.68837264,-0.697084262,-0.697221878,-0.540146135,Buy
-0.696034927,-0.698553181,-0.694159747,-0.687738019,-0.63458762,Buy
-0.68669029,-0.655281291,-0.670172029,-0.640147834,-0.31933434,Buy
-0.639625456,-0.542369211,-0.623127418,-0.569673634,0.801278621,Buy
-0.568411748,-0.569864848,-0.697418476,-0.674477296,0.520939864,Sell
